,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,1,0,96,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0,0,0,0,96,1,0,0,2,0,0,1,0,0,0,0,0,0,0
6,1,0,0,0,0,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,1,0
9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,95,0,0,4,0,0,0,0,1,0
11,0,0,0,0,0,0,0,0,0,0,1,96,1,2,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0,0,1,0,1,94,1,0,1,0,0,0,0
13,0,1,0,0,0,0,0,0,0,1,1,1,0,95,0,0,0,1,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,1,0,0,0
15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,96,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,99,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,5
18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,95,3
19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,86
