,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,87,0,0,2,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1,0,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,98,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,0,0,0,0,0,0,98,0,0,0,1,0,1,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,88,0,0,1,0,0,11,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,98,1,1,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,0,1,0,98,0,0,0,0,0,0,0
13,0,0,0,0,1,0,0,0,1,0,0,1,0,95,0,0,2,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,4,0,0,0,0
15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,87,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,98,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,2
18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,97,2
19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,96
