,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,88,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,1,0,0
1,0,93,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2,0,2,95,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3,0,1,0,93,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
4,0,1,0,0,97,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5,0,2,1,1,0,92,1,0,0,1,0,0,0,0,0,1,0,0,0,1
6,4,0,0,0,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,3,0,0,0,0,0,94,0,0,0,0,0,0,0,2,0,0,1,0
8,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,1,0,1
9,0,0,0,1,0,0,1,0,0,98,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,82,0,0,4,0,10,3,0,1,0
11,0,0,0,2,4,0,0,0,0,0,0,93,0,1,0,0,0,0,0,0
12,5,1,0,0,1,0,3,0,0,1,0,0,87,1,0,1,0,0,0,0
13,0,1,0,0,0,0,0,0,7,0,2,2,0,86,0,0,0,1,1,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,97,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,90,0,1,0
17,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2,8
18,6,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,1,86,1
19,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14,7,73
